date,code,open,high,low,close,volume,amount
2023-02-10,sh.000016,2757.5304,2757.5304,2738.6123,2746.7231,1851016700,40747626268.0000
2023-02-13,sh.000016,2739.7170,2772.0452,2733.2075,2767.7933,3010436400,63989468953.0000
2023-02-14,sh.000016,2770.2442,2776.9822,2760.5923,2776.9822,2229484000,49531533948.0000
2023-02-15,sh.000016,2776.0144,2780.5931,2746.2808,2752.3385,2391906700,48613527296.0000
2023-02-16,sh.000016,2754.9507,2787.1561,2725.8385,2742.8042,3259397400,64225693018.0000
2023-02-17,sh.000016,2737.0106,2759.5249,2712.5023,2714.2891,2701408300,52873770382.0000
2023-02-20,sh.000016,2720.0472,2790.9807,2717.5014,2788.3958,3854566600,70567258808.0000
2023-02-21,sh.000016,2785.9941,2805.7146,2779.1772,2802.1357,3558722600,63800608940.0000
2023-02-22,sh.000016,2786.7187,2795.2446,2766.3587,2769.3440,2131012300,45344054801.0000
2023-02-23,sh.000016,2770.7154,2790.8863,2757.4858,2767.5352,2312096100,49463966830.0000
2023-02-24,sh.000016,2762.7900,2764.6483,2722.1790,2727.5902,2506208500,49608201967.0000
2023-02-27,sh.000016,2713.4250,2738.1200,2712.7882,2723.5835,2228827600,44925779261.0000
2023-02-28,sh.000016,2730.5193,2740.2240,2703.2617,2737.1547,2417089600,45601510423.0000
