date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-03-24,sh.600000,6.60277708,6.64521138,6.58580336,6.6197508,16687677,130087627.43,0.0569,0.0
2022-03-25,sh.600000,6.6197508,6.67067196,6.60277708,6.6197508,16474442,128855055.09,0.0561,0.0
2022-03-28,sh.600000,6.6197508,6.67915882,6.54336906,6.67067196,28783984,224838880.0,0.0981,0.7692
2022-03-29,sh.600000,6.64521138,6.67067196,6.6197508,6.63672452,22516978,176131297.07,0.0767,-0.5089
2022-03-30,sh.600000,6.65369824,6.72159312,6.63672452,6.72159312,29854369,235127475.03,0.1017,1.2788
2022-03-31,sh.600000,6.69613254,6.80646172,6.67067196,6.789488,25969772,206902403.85,0.0885,1.0101
2022-04-01,sh.600000,6.7470537,6.84889602,6.73856684,6.84889602,31881345,255823775.39,0.1086,0.875
2022-04-06,sh.600000,6.789488,6.94225148,6.789488,6.93376462,42546117,345601824.94,0.145,1.2392
2022-04-07,sh.600000,6.92527776,6.94225148,6.84040916,6.84889602,31712143,257349868.47,0.108,-1.224
2022-04-08,sh.600000,6.84889602,6.89133032,6.80646172,6.88284346,24089173,194553784.73,0.0821,0.4957
2022-04-11,sh.600000,6.88284346,6.88284346,6.76402742,6.79797486,30015679,240997447.8,0.1023,-1.233
2022-04-12,sh.600000,6.80646172,6.9167909,6.77251428,6.88284346,31331939,252435317.7,0.1067,1.2484
2022-04-13,sh.600000,6.86586974,6.90830404,6.8319223,6.8743566,18501150,149849341.71,0.063,-0.1233
2022-04-14,sh.600000,6.88284346,6.9167909,6.8743566,6.88284346,18973150,154167548.18,0.0646,0.1235
2022-04-15,sh.600000,6.88284346,6.94225148,6.86586974,6.9167909,21811956,177849450.09,0.0743,0.4932
2022-04-18,sh.600000,6.89133032,6.90830404,6.79797486,6.81494858,21022369,169238878.94,0.0716,-1.4724
2022-04-19,sh.600000,6.82343544,6.90830404,6.81494858,6.90830404,24564490,198485790.32,0.0837,1.3699
